Estado,Clave municipal,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Chiapas,07089,Tapachula," 1,057.20 ", 842.78 , 793.17 ," 26,509.52 "," 10,271.37 "," 18,407.80 "," 1,570.61 "
Chiapas,07090,Tapalapa, 26.04 , 22.37 , 0.67 , 210.45 , 39.96 ," 4,735.88 ", 36.37 
Chiapas,07091,Tapilula, 189.59 , 91.93 , 17.38 , 944.70 , 717.91 ," 1,312.99 ", 69.58 
Chiapas,07092,Tecpatán, 244.22 , 195.94 , 6.17 ," 2,090.14 "," 1,999.25 "," 12,471.85 ", 295.12 
Chiapas,07093,Tenejapa, 261.11 , 226.62 , 6.99 ," 2,341.27 ", 751.64 ," 4,492.58 ", 307.49 
Chiapas,07094,Teopisca, 250.66 , 221.87 , 8.20 ," 2,895.69 ", 659.46 ," 2,254.92 ", 157.87 
Chiapas,07096,Tila, 511.42 , 428.81 , 12.91 ," 3,955.97 "," 1,590.76 "," 16,228.78 ", 660.89 
Chiapas,07097,Tonalá, 386.53 , 310.06 , 13.85 ," 7,121.84 "," 3,559.84 "," 25,894.46 ", 379.18 
Chiapas,07098,Totolapa, 67.48 , 57.18 , 1.76 , 487.64 , 285.99 ," 1,076.92 ", 57.70 
Chiapas,07099,La Trinitaria, 605.04 , 503.84 , 16.14 ," 5,845.68 "," 3,744.83 "," 23,750.72 ", 808.96 
Chiapas,07100,Tumbalá, 226.99 , 192.59 , 5.93 ," 1,746.13 ", 795.75 ," 12,313.70 ", 278.78 
Chiapas,07101,Tuxtla Gutiérrez," 1,193.11 ", 955.85 , 85.86 ," 53,536.45 "," 13,774.05 "," 18,892.58 ", 768.07 
Chiapas,07102,Tuxtla Chico, 237.55 , 208.80 , 6.99 ," 2,894.11 ", 852.97 ," 2,149.27 ", 187.53 
Chiapas,07103,Tuzantán, 194.88 , 175.53 , 7.33 ," 2,044.66 ", 836.38 ," 2,091.18 ", 222.79 
Chiapas,07104,Tzimol, 184.25 , 162.00 , 12.26 ," 1,415.70 "," 1,184.08 "," 3,757.11 ", 108.12 
Chiapas,07105,Unión Juárez, 70.48 , 64.75 , 2.05 , 668.52 , 328.39 ," 1,339.23 ", 151.39 
Chiapas,07106,Venustiano Carranza," 3,255.10 "," 2,048.50 ", 39.29 ," 6,163.04 "," 4,618.61 "," 11,182.27 ", 331.86 
Chiapas,07107,Villa Corzo," 1,000.80 ", 830.73 , 36.12 ," 8,712.27 "," 3,388.19 "," 30,109.89 "," 1,001.38 "
Chiapas,07108,Villaflores, 850.11 , 677.64 , 26.87 ," 10,131.33 "," 3,573.73 "," 15,390.37 "," 8,008.18 "
Chiapas,07109,Yajalón, 175.48 , 149.67 , 5.35 ," 2,000.32 ", 557.17 ," 5,839.62 ", 219.33 
Chiapas,07110,San Lucas, 56.08 , 49.28 , 1.48 , 431.29 , 137.04 , 507.94 , 42.74 
Chiapas,07111,Zinacantán, 292.26 , 251.15 , 9.81 ," 2,957.74 ", 529.31 ," 1,948.70 ", 168.00 
Chiapas,07112,San Juan Cancuc, 224.31 , 194.63 , 5.80 ," 1,683.31 ", 521.67 ," 4,135.35 ", 277.42 
Chiapas,07113,Aldama, 39.38 , 34.95 , 1.03 , 308.68 , 71.88 , 953.95 , 41.25 
Chiapas,07114,Benemérito de las Américas, 166.71 , 125.19 , 5.46 ," 2,228.44 "," 1,722.77 "," 20,521.82 ", 134.73 
Chiapas,07115,Maravilla Tenejapa, 86.37 , 72.92 , 2.25 , 630.18 ," 1,069.96 "," 18,422.21 ", 169.37 
Chiapas,07116,Marqués de Comillas, 103.42 , 75.13 , 2.08 , 579.56 ," 1,087.62 "," 19,448.30 ", 113.33 
Chiapas,07117,Montecristo de Guerrero, 51.26 , 43.01 , 1.26 , 347.49 , 92.47 ," 5,974.88 ", 189.18 
Chiapas,07118,San Andrés Duraznal, 42.11 , 34.31 , 0.98 , 271.97 , 65.87 ," 1,817.34 ", 57.27 
Chiapas,07119,Santiago el Pinar, 36.75 , 32.19 , 0.94 , 218.52 , 53.46 , 630.20 , 35.64 
Chiapas,07120,Capitán Luis Ángel Vidal, 0.28 , 0.23 , -   , 0.57 , 0.01 , 11.88 , -   
Chiapas,07121,Rincón Chamula San Pedro, 0.85 , 0.68 , -   , 1.70 , 0.03 , 35.75 , -   
Chiapas,07122,El Parral, 5.81 , 5.12 , 0.11 , 12.57 , 0.71 , 94.31 , -   
Chiapas,07123,Emiliano Zapata, 1.06 , 0.87 , 0.01 , 2.17 , 0.06 , 41.88 , -   
Chiapas,07124,Mezcalapa, 1.70 , 1.45 , 0.02 , 3.59 , 0.16 , 44.69 , -   
Chihuahua,08001,Ahumada, 931.07 , 312.87 , 12.70 ," 1,585.88 ", 834.45 , 761.14 , 633.94 
Chihuahua,08002,Aldama, 424.11 , 145.82 , 9.54 ," 1,962.80 ", 951.48 ," 1,465.43 ", 263.82 
Chihuahua,08003,Allende, 246.91 , 66.18 , 1.76 , 96.97 , 222.88 , 333.85 , 103.40 
Chihuahua,08004,Aquiles Serdán, 14.79 , 11.27 , 0.59 , 483.00 , 168.63 , 335.68 , 30.03 
Chihuahua,08005,Ascensión, 451.16 , 161.99 , 8.25 ," 1,573.01 ", 739.32 , 837.28 , 372.44 
Chihuahua,08006,Bachíniva, 132.02 , 74.05 , 3.20 , 794.02 , 325.18 ," 1,159.75 ", 466.31 
Chihuahua,08007,Balleza, 424.40 , 318.59 , 26.69 ," 3,637.74 ", 231.74 , 696.54 , 257.22 
Chihuahua,08008,Batopilas de Manuel Gómez Morín, 179.68 , 151.62 , 11.91 ," 1,622.77 ", 128.10 ," 1,884.05 ", 127.65 
Chihuahua,08009,Bocoyna, 612.47 , 484.60 , 41.04 ," 6,421.00 ", 977.09 ," 2,247.49 ", 274.40 
Chihuahua,08010,Buenaventura," 1,118.99 ", 504.16 , 31.99 ," 8,349.09 ", 611.03 ," 1,413.46 ", 497.49 
Chihuahua,08011,Camargo, 683.11 , 154.87 , 7.77 ," 3,385.59 "," 1,182.90 "," 1,574.26 ", 302.97 
Chihuahua,08012,Carichí, 391.83 , 272.64 , 25.70 ," 3,211.58 ", 318.00 , 858.04 , 381.08 
Chihuahua,08013,Casas Grandes, 403.30 , 254.21 , 22.55 ," 2,991.79 ", 447.10 , 884.34 , 173.66 
Chihuahua,08014,Coronado, 38.22 , 12.74 , 0.30 , 113.26 , 119.90 , 267.91 , 25.07 
Chihuahua,08015,Coyame del Sotol, 174.40 , 31.66 , 0.61 , 141.63 , 57.16 , 108.84 , 45.16 
Chihuahua,08016,La Cruz, 114.91 , 32.31 , 1.14 , 352.67 , 219.74 , 315.85 , 43.17 
Chihuahua,08017,Cuauhtémoc," 1,241.43 ", 705.50 , 55.97 ," 16,478.88 "," 4,817.81 "," 7,655.25 "," 2,886.73 "
Chihuahua,08018,Cusihuiriachi," 2,478.68 ", 483.65 , 50.93 ," 2,087.42 "," 1,785.11 "," 1,454.89 ", 752.30 
Chihuahua,08019,Chihuahua," 4,540.76 "," 3,538.50 "," 3,080.06 "," 97,841.91 "," 32,230.23 "," 32,224.48 "," 1,460.42 "
Chihuahua,08020,Chínipas, 841.19 , 712.77 , 74.30 ," 8,268.55 ", 335.01 ," 3,236.04 ", 159.48 
